Compounds,Functional_Used,Functional_Used_Abb,Functional_1,Functional_2,Basis_Set,Basis_Set_Part_1,Basis_Set_Part_2,Total_DFT_Energy (Ha),Total_DFT_Energy (kcal/mol),Thermal Correction to Enthalpy (kcal/mol),Corrected Enthalpy,Formation_Enthalpy,Formation_Energy,Deviation_STD,CPU Time,Wall Time,CPU_Time_Sum,Output_File_Path,Geometry_Angle,Bond_Length
H2,HFexch_xpbe96 cpbe96,HF_PBE,HFexch,xpbe96 cpbe96,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-1.161737236,-728.993601,8.616,-720.377601,0,0,-100,0.5,0.8,0,./HFexch_xpbe96 cpbe96/6-311+G*_6-31+G*/H2/H2.nwout,,
N2,HFexch_xpbe96 cpbe96,HF_PBE,HFexch,xpbe96 cpbe96,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-109.4051594,-68652.06574,5.975,-68646.09074,0,0,-100,6.1,7,0,./HFexch_xpbe96 cpbe96/6-311+G*_6-31+G*/N2/N2.nwout,,
NH3,HFexch_xpbe96 cpbe96,HF_PBE,HFexch,xpbe96 cpbe96,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-56.47847436,-35440.41209,25.704,-35414.70809,-11.09632257,-46.42701365,1.038114581,3.9,4.4,12.2,./HFexch_xpbe96 cpbe96/6-311+G*_6-31+G*/NH3/NH3.nwout,108.23,0.99864
H2,HFexch_xpbe96 cpbe96,HF_PBE,HFexch,xpbe96 cpbe96,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-1.1629264,-729.739805,8.616,-721.123805,0,0,-100,0.5,0.8,0,./HFexch_xpbe96 cpbe96/6-311+G*_6-311+G*/H2/H2.nwout,,
N2,HFexch_xpbe96 cpbe96,HF_PBE,HFexch,xpbe96 cpbe96,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-109.4370603,-68672.08367,5.975,-68666.10867,0,0,-100,5.5,6,0,./HFexch_xpbe96 cpbe96/6-311+G*_6-311+G*/N2/N2.nwout,,
NH3,HFexch_xpbe96 cpbe96,HF_PBE,HFexch,xpbe96 cpbe96,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-56.49488102,-35450.70732,25.704,-35425.00332,-10.26328283,-42.94157538,-6.547170011,3.9,4.3,11.1,./HFexch_xpbe96 cpbe96/6-311+G*_6-311+G*/NH3/NH3.nwout,108.23,0.99864
H2,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-1.175443239,-737.5941588,8.291,-729.3031588,0,0,-100,1.3,1.8,0,./xpbe96 cpbe96_B3LYP/6-31+G*_6-31+G*/H2/H2.nwout,,0.75047
N2,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-109.5294396,-68730.05191,5.443,-68724.60891,0,0,-100,12.1,12.9,0,./xpbe96 cpbe96_B3LYP/6-31+G*_6-31+G*/N2/N2.nwout,,1.1162
NH3,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-56.55685177,-35489.59416,23.573,-35466.02116,-9.761963588,-40.84405565,-11.11195724,21.7,22.6,37.3,./xpbe96 cpbe96_B3LYP/6-31+G*_6-31+G*/NH3/NH3.nwout,107.07,1.02575
H2,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-1.176584607,-738.3103708,8.291,-730.0193708,0,0,-100,1.2,1.6,0,./xpbe96 cpbe96_B3LYP/6-31+G*_6-311+G*/H2/H2.nwout,,0.75047
