filename,ecut,nkpts,alat_1,alat_3,energy,cpu_time,energy per atom 
Fe_HCP_5.44_174_7_4.out,50,48,5.44,1.74,-658.4050131,98.2,-329.2025066
Fe_HCP_5.44_174_8_4.out,50,60,5.44,1.74,-658.4041474,112.5,-329.2020737
Fe_HCP_5.44_174_9_5.out,50,72,5.44,1.74,-658.4051363,122.2,-329.2025681
Fe_HCP_5.44_174_10_5.out,50,84,5.44,1.74,-658.4042399,310.8,-329.2021199
Fe_HCP_5.44_174_11_6.out,50,128,5.44,1.74,-658.4046207,233.1,-329.2023104
Fe_HCP_5.45_174_6_3.out,50,28,5.45,1.74,-658.3993505,88.2,-329.1996752
Fe_HCP_5.45_174_7_4.out,50,48,5.45,1.74,-658.4029166,113.5,-329.2014583
Fe_HCP_5.45_174_8_4.out,50,60,5.45,1.74,-658.4020394,128.2,-329.2010197
Fe_HCP_5.45_174_9_5.out,50,72,5.45,1.74,-658.4030548,146.3,-329.2015274
Fe_HCP_5.45_174_10_5.out,50,84,5.45,1.74,-658.4021196,190.4,-329.2010598
Fe_HCP_5.45_174_11_6.out,50,128,5.45,1.74,-658.4025274,227.5,-329.2012637
Fe_HCP_5.46_174_6_3.out,50,28,5.46,1.74,-658.3971744,121.2,-329.1985872
Fe_HCP_5.46_174_7_4.out,50,48,5.46,1.74,-658.400849,106.2,-329.2004245
Fe_HCP_5.46_174_8_4.out,50,60,5.46,1.74,-658.3999189,128.4,-329.1999595
Fe_HCP_5.46_174_9_5.out,50,72,5.46,1.74,-658.4010265,131.7,-329.2005133
Fe_HCP_5.46_174_10_5.out,50,84,5.46,1.74,-658.4000026,242.8,-329.2000013
Fe_HCP_5.46_174_11_6.out,50,128,5.46,1.74,-658.4004584,227.2,-329.2002292
